City_State,Population,
FortLee_NJ,36275,
Mankato_MN,36245,
Tupelo_MS,36233,
Westerville_OH,36231,
Brentwood_TN,36176,
Beloit_WI,36160,
Duncanville_TX,36109,
Dover_DE,36107,
Maplewood_MN,36087,
Greenfield_WI,36075,
Wheeling_IL,36063,
Rome_GA,36041,
Moorhead_MN,36012,
ValleyStream_NY,36007,
Bremerton_WA,36006,
WestHollywood_CA,36005,
Dunedin_FL,35988,
Bartlesville_OK,35914,
Keizer_OR,35864,
Marion_OH,35841,
Greenville_MS,35764,
Lancaster_TX,35761,
Alamogordo_NM,35757,
DanaPoint_CA,35700,
LongBeach_NY,35698,
Roy_UT,35672,
Gainesville_GA,35668,
Bentonville_AR,35526,
LakeWorth_FL,35513,
Franklin_WI,35500,
Claremont_CA,35470,
Minot_ND,35419,
CottonwoodHeights_UT,35418,
LincolnPark_MI,35317,
Torrington_CT,35312,
Rockwall_TX,35247,
Manassas_VA,35205,
Martinez_CA,35145,
Fairbanks_AK,35132,
Lewiston_ME,35131,
SanDimas_CA,35043,
LosBanos_CA,34968,
Burleson_TX,34908,
Hollister_CA,34877,
SanJuanCapistrano_CA,34793,
PeachtreeCity_GA,34788,
Leavenworth_KS,34729,
Brunswick_OH,34711,
MenomoneeFalls_WI,34607,
Lufkin_TX,34530,
Marysville_WA,34482,
Marana_AZ,34466,
BeverlyHills_CA,34445,
Columbia_TN,34402,
LaPorte_TX,34274,
Wildwood_MO,34195,
Woodridge_IL,34130,
Holland_MI,34076,
Friendswood_TX,33979,
SanJuan_TX,33970,
Northbrook_IL,33936,
HiltonHeadIsland_SC,33913,
Stow_OH,33899,
Gahanna_OH,33892,
BayCity_MI,33874,
GroveCity_OH,33829,
PleasantGrove_UT,33798,
Seaside_CA,33797,
Delaware_OH,33719,
Mundelein_IL,33717,
Northglenn_CO,33697,
Rome_NY,33673,
Reynoldsburg_OH,33657,
Dalton_GA,33648,
LaVerne_CA,33623,
CottageGrove_MN,33623,
Rosenberg_TX,33595,
EastPaloAlto_CA,33575,
Lynnwood_WA,33572,
Jackson_MI,33518,
OakCreek_WI,33482,
TwentyninePalms_CA,33480,
Shakopee_MN,33455,
Pekin_IL,33430,
InverGroveHeights_MN,33383,
Weslaco_TX,33354,
WinterHaven_FL,33353,
ElkGroveVillage_IL,33320,
GrantsPass_OR,33217,
Manitowoc_WI,33169,
Apex_NC,33075,
Merrillville_IN,33057,
NewIberia_LA,32959,
Petersburg_VA,32916,
Richmond_KY,32895,
PleasantHill_CA,32862,
St.Charles_IL,32829,
Marion_IA,32821,
Roseville_MN,32815,
ApacheJunction_AZ,32776,
PlantCity_FL,32761,
Richfield_MN,32728,
Englewood_CO,32669,
WinterSprings_FL,32667,
Beaumont_CA,32663,
Goshen_IN,32630,
LongBranch_NJ,32622,
Massillon_OH,32613,
NorthChicago_IL,32608,
Oviedo_FL,32606,
Bettendorf_IA,32584,
Monroe_NC,32543,
Houma_LA,32512,
Eastpointe_MI,32497,
Prattville_AL,32480,
